id,cp,estado,municipio,localidad,estimlo_ft,time_zone
292,20290,AGU,1,1,0,America/Mexico_City
293,20291,AGU,1,1,0,America/Mexico_City
294,20292,AGU,,,0,America/Mexico_City
295,20293,AGU,,,0,America/Mexico_City
296,20294,AGU,,,0,America/Mexico_City
297,20295,AGU,,,0,America/Mexico_City
298,20296,AGU,1,1,0,America/Mexico_City
299,20297,AGU,1,1,0,America/Mexico_City
300,20298,AGU,1,,0,America/Mexico_City
301,20299,AGU,1,1,0,America/Mexico_City
302,20300,AGU,11,3,0,America/Mexico_City
303,20301,AGU,,,0,America/Mexico_City
304,20302,AGU,,,0,America/Mexico_City
305,20303,AGU,11,3,0,America/Mexico_City
306,20304,AGU,11,3,0,America/Mexico_City
307,20305,AGU,11,3,0,America/Mexico_City
308,20306,AGU,,,0,America/Mexico_City
309,20307,AGU,,,0,America/Mexico_City
310,20308,AGU,,,0,America/Mexico_City
311,20309,AGU,,,0,America/Mexico_City
312,20310,AGU,1,,0,America/Mexico_City
313,20311,AGU,1,,0,America/Mexico_City
314,20312,AGU,,,0,America/Mexico_City
315,20313,AGU,1,,0,America/Mexico_City
316,20314,AGU,1,,0,America/Mexico_City
317,20315,AGU,1,,0,America/Mexico_City
318,20316,AGU,1,,0,America/Mexico_City
319,20317,AGU,1,,0,America/Mexico_City
320,20318,AGU,,,0,America/Mexico_City
321,20319,AGU,1,,0,America/Mexico_City
322,20320,AGU,1,,0,America/Mexico_City
323,20321,AGU,1,,0,America/Mexico_City
324,20322,AGU,1,,0,America/Mexico_City
325,20323,AGU,1,,0,America/Mexico_City
326,20324,AGU,1,,0,America/Mexico_City
327,20325,AGU,,,0,America/Mexico_City
328,20326,AGU,1,,0,America/Mexico_City
329,20327,AGU,,,0,America/Mexico_City
330,20328,AGU,1,,0,America/Mexico_City
331,20329,AGU,1,,0,America/Mexico_City
332,20330,AGU,10,,0,America/Mexico_City
333,20331,AGU,,,0,America/Mexico_City
334,20332,AGU,,,0,America/Mexico_City
335,20333,AGU,10,,0,America/Mexico_City
336,20334,AGU,10,,0,America/Mexico_City
337,20335,AGU,10,,0,America/Mexico_City
338,20336,AGU,10,,0,America/Mexico_City
339,20337,AGU,10,,0,America/Mexico_City
340,20338,AGU,10,,0,America/Mexico_City
341,20339,AGU,10,,0,America/Mexico_City
342,20340,AGU,1,,0,America/Mexico_City
343,20341,AGU,1,,0,America/Mexico_City
344,20342,AGU,1,,0,America/Mexico_City
345,20343,AGU,,,0,America/Mexico_City
346,20344,AGU,1,,0,America/Mexico_City
347,20345,AGU,1,,0,America/Mexico_City
348,20346,AGU,1,,0,America/Mexico_City
349,20347,AGU,,,0,America/Mexico_City
350,20348,AGU,1,,0,America/Mexico_City
351,20349,AGU,1,,0,America/Mexico_City
352,20350,AGU,11,,0,America/Mexico_City
353,20351,AGU,,,0,America/Mexico_City
354,20352,AGU,,,0,America/Mexico_City
355,20353,AGU,11,,0,America/Mexico_City
356,20354,AGU,,,0,America/Mexico_City
357,20355,AGU,11,,0,America/Mexico_City
358,20356,AGU,11,,0,America/Mexico_City
359,20357,AGU,11,,0,America/Mexico_City
360,20358,AGU,11,,0,America/Mexico_City
361,20359,AGU,,,0,America/Mexico_City
362,20360,AGU,,,0,America/Mexico_City
363,20361,AGU,,,0,America/Mexico_City
364,20362,AGU,,,0,America/Mexico_City
365,20363,AGU,1,,0,America/Mexico_City
366,20364,AGU,1,,0,America/Mexico_City
367,20365,AGU,,,0,America/Mexico_City
368,20366,AGU,1,,0,America/Mexico_City
369,20367,AGU,1,,0,America/Mexico_City
370,20368,AGU,,,0,America/Mexico_City
371,20369,AGU,1,,0,America/Mexico_City
372,20370,AGU,1,,0,America/Mexico_City
373,20371,AGU,1,,0,America/Mexico_City
374,20372,AGU,1,,0,America/Mexico_City
375,20373,AGU,1,,0,America/Mexico_City
376,20374,AGU,,,0,America/Mexico_City
377,20375,AGU,1,,0,America/Mexico_City
378,20376,AGU,1,,0,America/Mexico_City
379,20377,AGU,1,,0,America/Mexico_City
380,20378,AGU,,,0,America/Mexico_City
381,20379,AGU,1,,0,America/Mexico_City
382,20380,AGU,,,0,America/Mexico_City
383,20381,AGU,,,0,America/Mexico_City
384,20382,AGU,,,0,America/Mexico_City
385,20383,AGU,,,0,America/Mexico_City
386,20384,AGU,1,,0,America/Mexico_City
387,20385,AGU,1,,0,America/Mexico_City
388,20386,AGU,1,,0,America/Mexico_City
389,20387,AGU,,,0,America/Mexico_City
390,20388,AGU,,,0,America/Mexico_City
391,20389,AGU,1,,0,America/Mexico_City
392,20390,AGU,1,,0,America/Mexico_City
393,20391,AGU,1,,0,America/Mexico_City
394,20392,AGU,1,,0,America/Mexico_City
395,20393,AGU,1,,0,America/Mexico_City
396,20394,AGU,1,,0,America/Mexico_City
397,20395,AGU,1,,0,America/Mexico_City
398,20396,AGU,1,,0,America/Mexico_City
399,20397,AGU,,,0,America/Mexico_City
400,20398,AGU,,,0,America/Mexico_City
401,20399,AGU,1,,0,America/Mexico_City
402,20400,AGU,7,6,0,America/Mexico_City
